Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,ccycle10x2,220,3880,20,40,10,10,--,true,2.792s
2,ccycle10x2,220,3880,20,40,11,11,--,true,2.828s
3,ccycle10x2,220,3880,20,40,12,12,--,true,2.992s
4,ccycle10x2,220,3880,20,40,13,13,--,true,3.212s
5,ccycle10x2,220,3880,20,40,14,14,--,true,2.84s
6,ccycle10x2,220,3880,20,40,15,15,--,true,2.92s
7,ccycle10x2,220,3880,20,40,16,16,--,true,3.832s
8,ccycle10x2,220,3880,20,40,17,17,--,true,4.368s
9,ccycle10x2,220,3880,20,40,18,18,--,true,4.004s
10,ccycle10x2,220,3880,20,40,19,19,--,true,4.212s
11,ccycle10x2,220,3880,20,40,20,20,20,true,8.832s
