Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-8,64,112,4,36,5,18,22,3000,3000297
2,Grid-8,64,112,4,36,6,20,20,3000,2815279
3,Grid-8,64,112,4,36,7,18,19,3000,3000137
4,Grid-8,64,112,4,36,8,18,18,3000,1373895
5,Grid-8,64,112,4,36,9,17,17,3000,1637290
6,Grid-8,64,112,4,36,10,16,16,3000,393400
7,Grid-8,64,112,4,36,11,14,14,3000,131930
8,Grid-8,64,112,4,36,12,14,14,3000,121208
9,Grid-8,64,112,4,36,13,13,13,3000,33534
10,Grid-8,64,112,4,36,14,13,13,3000,50481
11,Grid-8,64,112,4,36,15,13,13,3000,73533
12,Grid-8,64,112,4,36,16,12,12,3000,39152
13,Grid-8,64,112,4,36,17,12,12,3000,29895
14,Grid-8,64,112,4,36,18,11,11,3000,18975
15,Grid-8,64,112,4,36,19,11,11,3000,14454
16,Grid-8,64,112,4,36,20,11,11,3000,12739
17,Grid-8,64,112,4,36,21,11,11,3000,13051
18,Grid-8,64,112,4,36,22,10,10,3000,10437
19,Grid-8,64,112,4,36,23,10,10,3000,7183
