Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-9,81,144,4,49,6,6,--,true,1304648
2,Grid-9,81,144,4,49,7,7,--,true,606377
3,Grid-9,81,144,4,49,8,8,--,true,1211055
4,Grid-9,81,144,4,49,9,9,--,false,3000043
5,Grid-9,81,144,4,49,10,10,--,false,3000041
6,Grid-9,81,144,4,49,11,11,--,false,3000123
7,Grid-9,81,144,4,49,12,12,--,false,3000053
8,Grid-9,81,144,4,49,13,13,--,false,3000056
9,Grid-9,81,144,4,49,14,14,--,false,3000124
10,Grid-9,81,144,4,49,15,15,--,false,3000117
11,Grid-9,81,144,4,49,16,16,16,true,27746
12,Grid-9,81,144,4,49,17,17,17,true,1009
13,Grid-9,81,144,4,49,18,18,18,true,889
14,Grid-9,81,144,4,49,19,19,19,true,224
15,Grid-9,81,144,4,49,20,20,20,true,154
16,Grid-9,81,144,4,49,21,21,21,true,224
17,Grid-9,81,144,4,49,22,22,22,true,225
18,Grid-9,81,144,4,49,23,23,23,true,134
19,Grid-9,81,144,4,49,24,24,24,true,85
20,Grid-9,81,144,4,49,25,25,25,true,61
21,Grid-9,81,144,4,49,26,26,26,true,50
22,Grid-9,81,144,4,49,27,27,27,true,69
23,Grid-9,81,144,4,49,28,28,28,true,72
24,Grid-9,81,144,4,49,29,29,29,true,36
25,Grid-9,81,144,4,49,30,30,30,true,22
