Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,Grid-7,49,84,4,25,5,5,6,--,true,4
2,Grid-7,49,84,4,25,6,6,7,--,true,95
3,Grid-7,49,84,4,25,7,7,8,--,true,9704
4,Grid-7,49,84,4,25,8,8,9,--,true,171740
5,Grid-7,49,84,4,25,9,9,9,--,false,3010100
6,Grid-7,49,84,4,25,10,10,9,--,false,3010084
7,Grid-7,49,84,4,25,11,11,9,--,false,3010098
8,Grid-7,49,84,4,25,12,12,8,--,false,3010080
9,Grid-7,49,84,4,25,13,13,8,--,false,3010080
10,Grid-7,49,84,4,25,14,14,8,--,false,3010063
11,Grid-7,49,84,4,25,15,15,8,15,false,3010075
12,Grid-7,49,84,4,25,16,16,7,15,false,3010070
13,Grid-7,49,84,4,25,17,17,7,12,false,3010075
