R,c,FVD\_TIME,S\_TIME,LP\_TIME
1,9,-1,25064,600
2,10,-1,54786,517
3,11,-1,66245,579
4,12,469,177986,627
5,13,88737,269516,496
6,14,435710,1861723,1263
7,15,4135891,4581128,2962
8,16,-1,6021202,2287
9,17,-1,6039468,2539
10,18,-1,3014685,818
11,19,-1,3162673,487
12,20,-1,3013873,667
13,21,-1,3058367,6000083
14,22,-1,3016760,-1
15,23,-1,6016677,-1
16,24,-1,3011864,-1
17,25,-1,3015580,-1
18,26,-1,3045803,-1
19,27,-1,3013156,-1
20,28,-1,3015207,-1
21,29,-1,3016260,-1
22,30,-1,3028616,-1
23,31,-1,3065931,-1
24,32,-1,3030943,-1
25,33,-1,3020012,-1
26,34,-1,3019549,-1
27,35,-1,3080125,-1
28,36,-1,3014864,-1
29,37,-1,3016466,-1
30,38,-1,6016624,-1
31,39,-1,6066947,-1
32,40,-1,6014599,-1
33,41,-1,6213583,-1
34,42,-1,6018292,-1
35,43,-1,6039631,-1
36,44,-1,6012615,-1
37,45,-1,6020937,6000076
38,46,-1,6015959,111005
39,47,-1,6088103,27695
40,48,-1,1448828,12330
41,49,-1,167280,6846
42,50,-1,1912540,22634
43,51,-1,118067,29997
44,52,-1,238255,10770
45,53,-1,260262,8165
46,54,-1,145104,10991
47,55,-1,293039,8427
48,56,-1,31279,12279
49,57,-1,91502,5962
50,58,-1,223819,4381
51,59,-1,129130,6856
52,60,-1,114795,23758
53,61,-1,288670,5734
