Row,Name,Size,Edges,MAX,MAX-COUNT,BEST_NAME,BEST-LB,BEST-UB,BEST-TIME,HEURISTIC-LB,HEURISTIC-UB,HEURISTIC_TIME
1,clique-10,10,45,9,10,FPT,5,5,4ms,5,5,323ms
2,elevator-1.gf,10,20,7,3,FPT,3,3,1ms,3,3,486ms
3,tpp-1.gf,14,52,11,3,FPT,6,5,8ms,5,5,450ms
4,clique-15,15,105,14,15,FPT,8,8,5ms,7,8,548ms
5,clique-20,20,190,19,20,FPT,10,10,5ms,10,10,1284ms
6,tpp-2.gf,22,94,19,2,SAT,7,7,105ms,6,7,2236ms
7,clique-25,25,300,24,25,FPT,13,13,7ms,12,13,1915ms
8,tpp-3.gf,30,136,27,2,FPT,7,7,3ms,7,7,5677ms
9,btree-5,31,30,3,14,FPT,4,4,22ms,4,4,4540ms
10,elevator-2.gf,36,88,17,4,FPT,6,6,7ms,6,6,8648ms
11,tpp-4.gf,38,178,35,2,FPT,8,8,7ms,7,8,8798ms
12,satellite.gf,42,210,41,2,FPT,10,10,67ms,10,10,10s
13,Grid-7,49,84,4,25,FPT,11,11,219s,11,11,41s
14,ccycle5x2,60,245,10,20,FPT,10,10,800ms,10,10,272s
15,btree-6,63,62,3,30,FPT,7,7,18ms,6,7,80s
16,Grid-8,64,112,4,36,FPT,13,13,360m,13,13,27m
17,elevator-3.gf,78,204,27,6,FPT,9,9,1ms,9,9,57s
18,Grid-9,81,144,4,49,LP,16,16,412m,16,16,67m
19,tpp-5.gf,84,538,77,2,FPT,13,13,7ms,13,13,31m
20,ccycle6x2,84,420,12,24,FPT,12,12,10s,12,12,21m
21,Grid-10,100,180,4,64,LP,18,18,863m,18,18,243m
22,ccycle7x2,112,665,14,28,FPT,14,14,136s,14,14,57m
23,Grid-11,121,220,4,81,SAT,21,21,53m,16,21,325m
24,btree-7,127,126,3,62,FPT,8,8,139ms,8,8,61m
25,elevator-4.gf,136,368,37,8,FPT,12,12,15ms,12,12,623s
26,Grid-12,144,264,4,100,SAT,22,22,656m,18,24,503m
27,ccycle8x2,144,992,16,32,FPT,16,16,27m,16,16,144m
28,Grid-13,169,312,4,121,SAT,23,30,496m,18,28,624m
29,ccycle9x2,180,1413,18,36,FPT,18,18,84m,17,18,662m
30,wood.gf,185,7181,121,36,LP,61,62,1123m,61,62,82m
31,Grid-14,196,364,4,144,SAT,21,35,772m,20,32,717m
32,barman.gf,200,6596,117,13,LP,65,65,1159m,65,65,168m
33,elevator-5.gf,210,580,47,10,FPT,15,15,11ms,15,15,28m
34,ccycle10x2,220,1940,20,40,SAT,20,20,93s,19,20,1759m
35,Grid-15,225,420,4,169,SAT,26,40,944m,23,34,995m
36,btree-8,255,254,3,126,FPT,15,15,19s,14,15,194m
37,ns1766074.mps,282,666,34,9,LP,25,27,723m,25,27,444m
38,noswot.mps,310,735,25,1,LP,18,43,6664m,40,42,1925m
39,Grid-20,400,760,4,324,LP,11,59,6550m,36,53,3083m
40,mik.250-1-100.1.mps,402,5351,101,51,FPT,51,51,1062ms,50,51,373m
41,Split-20,420,590,39,19,FPT,20,20,171ms,20,20,258m
42,enlight13.mps,507,962,6,121,LP,9,70,6223m,37,66,5255m
43,btree-9,511,510,3,254,FPT,16,16,354m,16,17,550m
44,timtab1.mps,568,829,52,1,FPT,17,32,833m,26,33,1565m
45,enlight14.mps,588,1120,6,144,LP,5,77,400m,41,72,7587m
46,m100n500k4r1.mps,600,2000,32,1,FPT,37,87,3504m,14,87,621m
47,Split-25,650,925,49,21,FPT,25,25,63ms,23,25,1690m
