Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,btree-9,511,510,3,254,13,1,57,3000,3000242
2,btree-9,511,510,3,254,14,1,39,3000,3000208
3,btree-9,511,510,3,254,15,1,59,3000,3000243
4,btree-9,511,510,3,254,16,2,18,3000,3000360
5,btree-9,511,510,3,254,17,2,27,3000,3000220
6,btree-9,511,510,3,254,18,1,17,3000,3000180
7,btree-9,511,510,3,254,19,1,16,3000,3000281
8,btree-9,511,510,3,254,20,1,19,3000,3012386
9,btree-9,511,510,3,254,21,2,17,3000,3015176
10,btree-9,511,510,3,254,22,1,36,3000,3000230
11,btree-9,511,510,3,254,23,2,16,3000,3000251
12,btree-9,511,510,3,254,24,2,19,3000,3000263
13,btree-9,511,510,3,254,25,2,19,3000,3000175
14,btree-9,511,510,3,254,26,2,20,3000,3000330
