Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,btree-9,511,510,3,254,13,13,--,true,128.952s
2,btree-9,511,510,3,254,14,14,--,true,227.152s
3,btree-9,511,510,3,254,15,15,--,true,2092.62s
4,btree-9,511,510,3,254,16,16,16,true,205.732s
5,btree-9,511,510,3,254,17,17,17,true,40.636s
6,btree-9,511,510,3,254,18,18,18,true,41.492s
7,btree-9,511,510,3,254,19,19,19,true,42.28s
8,btree-9,511,510,3,254,20,20,20,true,41.452s
9,btree-9,511,510,3,254,21,21,21,true,42.376s
10,btree-9,511,510,3,254,22,22,22,true,42.612s
11,btree-9,511,510,3,254,23,23,23,true,42.748s
12,btree-9,511,510,3,254,24,24,24,true,42.408s
13,btree-9,511,510,3,254,25,25,25,true,44.748s
14,btree-9,511,510,3,254,26,26,26,true,46.04s
